,date,pos_vader,neg_vader,neu_vader,comp_vader
0,2009-09-21,0.0,0.0,1.0,0.0
1,2009-09-22,0.278,0.0,0.722,0.4019
2,2009-09-23,0.278,0.0,0.722,0.4019
3,2009-09-24,0.1018,0.0344,0.8638,0.1166
4,2009-09-25,0.217,0.0,0.7829999999999999,0.3612
5,2009-09-26,0.139,0.0,0.861,0.20095
6,2009-09-27,0.139,0.0,0.861,0.20095
7,2009-09-28,0.139,0.0,0.861,0.20095
8,2009-09-29,0.18166666666666664,0.109,0.709,0.06056666666666666
9,2009-09-30,0.1035,0.06749999999999999,0.8291666666666666,0.13785
10,2009-10-01,0.29100000000000004,0.0,0.7090000000000001,0.5794
11,2009-10-02,0.287,0.0,0.7130000000000001,0.4793
12,2009-10-03,0.139,0.0,0.861,0.3802
13,2009-10-04,0.139,0.0,0.861,0.3802
14,2009-10-05,0.139,0.0,0.861,0.3802
15,2009-10-06,0.10777777777777779,0.029,0.8632222222222221,0.07748888888888888
16,2009-10-07,0.511,0.0,0.489,0.8883
17,2009-10-08,0.511,0.0,0.489,0.8883
18,2009-10-09,0.511,0.0,0.489,0.8883
19,2009-10-10,0.511,0.0,0.489,0.8883
20,2009-10-11,0.511,0.0,0.489,0.8883
21,2009-10-12,0.511,0.0,0.489,0.8883
22,2009-10-13,0.511,0.0,0.489,0.8883
23,2009-10-14,0.511,0.0,0.489,0.8883
24,2009-10-15,0.511,0.0,0.489,0.8883
25,2009-10-16,0.511,0.0,0.489,0.8883
26,2009-10-17,0.511,0.0,0.489,0.8883
27,2009-10-18,0.511,0.0,0.489,0.8883
28,2009-10-19,0.511,0.0,0.489,0.8883
29,2009-10-20,0.511,0.0,0.489,0.8883
30,2009-10-21,0.511,0.0,0.489,0.8883
31,2009-10-22,0.511,0.0,0.489,0.8883
32,2009-10-23,0.511,0.0,0.489,0.8883
33,2009-10-24,0.511,0.0,0.489,0.8883
34,2009-10-25,0.511,0.0,0.489,0.8883
35,2009-10-26,0.511,0.0,0.489,0.8883
36,2009-10-27,0.511,0.0,0.489,0.8883
37,2009-10-28,0.511,0.0,0.489,0.8883
38,2009-10-29,0.2,0.0,0.8,0.4574
39,2009-10-30,0.2,0.0,0.8,0.4574
40,2009-10-31,0.2,0.0,0.8,0.4574
41,2009-11-01,0.2,0.0,0.8,0.4574
42,2009-11-02,0.2,0.0,0.8,0.4574
43,2009-11-03,0.28600000000000003,0.0,0.7140000000000001,0.4939
44,2009-11-04,0.28600000000000003,0.0,0.7140000000000001,0.4939
45,2009-11-05,0.287,0.20600000000000002,0.507,-0.0094
46,2009-11-06,0.435,0.0,0.565,0.8748
47,2009-11-07,0.435,0.0,0.565,0.8748
48,2009-11-08,0.435,0.0,0.565,0.8748
49,2009-11-09,0.435,0.0,0.565,0.8748
50,2009-11-10,0.184,0.0,0.816,0.4019
51,2009-11-11,0.184,0.0,0.816,0.4019
52,2009-11-12,0.184,0.0,0.816,0.4019
53,2009-11-13,0.184,0.0,0.816,0.4019
54,2009-11-14,0.184,0.0,0.816,0.4019
55,2009-11-15,0.184,0.0,0.816,0.4019
56,2009-11-16,0.184,0.0,0.816,0.4019
57,2009-11-17,0.184,0.0,0.816,0.4019
58,2009-11-18,0.184,0.0,0.816,0.4019
59,2009-11-19,0.184,0.0,0.816,0.4019
60,2009-11-20,0.0,0.10300000000000001,0.897,-0.128
61,2009-11-21,0.0,0.10300000000000001,0.897,-0.128
62,2009-11-22,0.0,0.10300000000000001,0.897,-0.128
63,2009-11-23,0.0,0.10300000000000001,0.897,-0.128
64,2009-11-24,0.0,0.10300000000000001,0.897,-0.128
65,2009-11-25,0.401,0.0,0.599,0.77225
66,2009-11-26,0.32799999999999996,0.132,0.539,0.6114
67,2009-11-27,0.32799999999999996,0.132,0.539,0.6114
68,2009-11-28,0.32799999999999996,0.132,0.539,0.6114
69,2009-11-29,0.32799999999999996,0.132,0.539,0.6114
70,2009-11-30,0.32799999999999996,0.132,0.539,0.6114
71,2009-12-01,0.32799999999999996,0.132,0.539,0.6114
72,2009-12-02,0.32799999999999996,0.132,0.539,0.6114
73,2009-12-03,0.32599999999999996,0.0,0.6739999999999999,0.7591
74,2009-12-04,0.122,0.0,0.878,0.2714
75,2009-12-05,0.515,0.0,0.485,0.8176
76,2009-12-06,0.515,0.0,0.485,0.8176
77,2009-12-07,0.515,0.0,0.485,0.8176
78,2009-12-08,0.22949999999999998,0.0,0.7705,0.38915
79,2009-12-09,0.22949999999999998,0.0,0.7705,0.38915
80,2009-12-10,0.22949999999999998,0.0,0.7705,0.38915
81,2009-12-11,0.363,0.08900000000000001,0.5479999999999999,0.7592
82,2009-12-12,0.1295,0.0575,0.813,0.192
83,2009-12-13,0.1295,0.0575,0.813,0.192
84,2009-12-14,0.1295,0.0575,0.813,0.192
85,2009-12-15,0.0,0.0,1.0,0.0
86,2009-12-16,0.0,0.0,1.0,0.0
87,2009-12-17,0.0,0.0,1.0,0.0
88,2009-12-18,0.0,0.0,1.0,0.0
89,2009-12-19,0.0,0.0,1.0,0.0
90,2009-12-20,0.0,0.0,1.0,0.0
91,2009-12-21,0.0,0.0,1.0,0.0
92,2009-12-22,0.0,0.0,1.0,0.0
93,2009-12-23,0.163,0.0,0.8370000000000001,0.5106
94,2009-12-24,0.163,0.0,0.8370000000000001,0.5106
95,2009-12-25,0.163,0.0,0.8370000000000001,0.5106
96,2009-12-26,0.163,0.0,0.8370000000000001,0.5106
97,2009-12-27,0.163,0.0,0.8370000000000001,0.5106
98,2009-12-28,0.163,0.0,0.8370000000000001,0.5106
99,2009-12-29,0.163,0.0,0.8370000000000001,0.5106
100,2009-12-30,0.163,0.0,0.8370000000000001,0.5106
101,2009-12-31,0.252,0.0,0.748,0.4019
102,2010-01-01,0.252,0.0,0.748,0.4019
103,2010-01-02,0.252,0.0,0.748,0.4019
104,2010-01-03,0.252,0.0,0.748,0.4019
105,2010-01-04,0.252,0.0,0.748,0.4019
106,2010-01-05,0.191,0.0,0.809,0.3802
107,2010-01-06,0.115,0.0,0.885,0.2775
108,2010-01-07,0.16572727272727272,0.0,0.8342727272727274,0.2714454545454546
109,2010-01-08,0.17042857142857143,0.036,0.7935714285714285,0.3358714285714286
110,2010-01-09,0.17275000000000001,0.0,0.82725,0.30655
111,2010-01-10,0.17275000000000001,0.0,0.82725,0.30655
112,2010-01-11,0.17275000000000001,0.0,0.82725,0.30655
113,2010-01-12,0.17275000000000001,0.0,0.82725,0.30655
114,2010-01-13,0.0,0.24100000000000002,0.759,-0.5423
115,2010-01-14,0.0,0.24100000000000002,0.759,-0.5423
116,2010-01-15,0.493,0.0,0.507,0.8658
117,2010-01-16,0.14100000000000001,0.082,0.7773333333333333,0.1772
118,2010-01-17,0.14100000000000001,0.082,0.7773333333333333,0.1772
119,2010-01-18,0.14100000000000001,0.082,0.7773333333333333,0.1772
120,2010-01-19,0.14100000000000001,0.082,0.7773333333333333,0.1772
121,2010-01-20,0.27499999999999997,0.057999999999999996,0.6669999999999999,0.41816666666666674
122,2010-01-21,0.35100000000000003,0.0,0.649,0.6597
123,2010-01-22,0.0,0.0,1.0,0.0
124,2010-01-23,0.0,0.0,1.0,0.0
125,2010-01-24,0.0,0.0,1.0,0.0
126,2010-01-25,0.0,0.0,1.0,0.0
127,2010-01-26,0.0,0.0,1.0,0.0
128,2010-01-27,0.11699999999999999,0.102,0.7809999999999999,0.1007
129,2010-01-28,0.11699999999999999,0.102,0.7809999999999999,0.1007
130,2010-01-29,0.11699999999999999,0.102,0.7809999999999999,0.1007
131,2010-01-30,0.0,0.0,1.0,0.0
132,2010-01-31,0.0,0.0,1.0,0.0
133,2010-02-01,0.0,0.0,1.0,0.0
134,2010-02-02,0.0,0.0,1.0,0.0
135,2010-02-03,0.209,0.0,0.7909999999999999,0.4404
136,2010-02-04,0.122,0.0,0.8779999999999999,0.2202
137,2010-02-05,0.0,0.15533333333333335,0.8446666666666666,-0.43979999999999997
138,2010-02-06,0.0,0.15533333333333335,0.8446666666666666,-0.43979999999999997
139,2010-02-07,0.0,0.15533333333333335,0.8446666666666666,-0.43979999999999997
140,2010-02-08,0.0,0.15533333333333335,0.8446666666666666,-0.43979999999999997
141,2010-02-09,0.0,0.105,0.895,-0.2462
142,2010-02-10,0.0,0.105,0.895,-0.2462
143,2010-02-11,0.119,0.0605,0.8205,0.04490000000000002
144,2010-02-12,0.0,0.0,1.0,0.0
145,2010-02-13,0.0,0.0,1.0,0.0
146,2010-02-14,0.20199999999999999,0.0,0.7979999999999999,0.4199
147,2010-02-15,0.07209999999999998,0.0,0.9279,0.13568
148,2010-02-16,0.049,0.0,0.9510000000000001,0.0386
149,2010-02-17,0.049,0.0,0.9510000000000001,0.0386
150,2010-02-18,0.049,0.0,0.9510000000000001,0.0386
151,2010-02-19,0.172,0.0,0.828,0.4019
152,2010-02-20,0.0,0.0,1.0,0.0
153,2010-02-21,0.0,0.0,1.0,0.0
154,2010-02-22,0.285,0.0,0.715,0.6588
155,2010-02-23,0.285,0.0,0.715,0.6588
156,2010-02-24,0.15000000000000002,0.0,0.85,0.33503333333333335
157,2010-02-25,0.15000000000000002,0.0,0.85,0.33503333333333335
158,2010-02-26,0.15000000000000002,0.0,0.85,0.33503333333333335
159,2010-02-27,0.249,0.0,0.751,0.59055
160,2010-02-28,0.249,0.0,0.751,0.59055
161,2010-03-01,0.249,0.0,0.751,0.59055
162,2010-03-02,0.0,0.0,1.0,0.0
163,2010-03-03,0.13699999999999998,0.11199999999999999,0.751,-0.03740000000000002
164,2010-03-04,0.13699999999999998,0.11199999999999999,0.751,-0.03740000000000002
165,2010-03-05,0.13699999999999998,0.11199999999999999,0.751,-0.03740000000000002
166,2010-03-06,0.13699999999999998,0.11199999999999999,0.751,-0.03740000000000002
167,2010-03-07,0.13699999999999998,0.11199999999999999,0.751,-0.03740000000000002
168,2010-03-08,0.13699999999999998,0.11199999999999999,0.751,-0.03740000000000002
169,2010-03-09,0.0,0.0,1.0,0.0
170,2010-03-10,0.0,0.0,1.0,0.0
171,2010-03-11,0.0,0.0,1.0,0.0
172,2010-03-12,0.239,0.0,0.7609999999999999,0.29600000000000004
173,2010-03-13,0.318,0.0,0.682,0.6808
174,2010-03-14,0.318,0.0,0.682,0.6808
175,2010-03-15,0.0,0.0,1.0,0.0
176,2010-03-16,0.2046666666666667,0.0,0.7953333333333333,0.42496666666666666
177,2010-03-17,0.2046666666666667,0.0,0.7953333333333333,0.42496666666666666
178,2010-03-18,0.38,0.0,0.62,0.5994
179,2010-03-19,0.0,0.0,1.0,0.0
180,2010-03-20,0.0,0.0,1.0,0.0
181,2010-03-21,0.0,0.0,1.0,0.0
182,2010-03-22,0.0,0.0,1.0,0.0
183,2010-03-23,0.0,0.0,1.0,0.0
184,2010-03-24,0.24100000000000002,0.0,0.759,0.5423
185,2010-03-25,0.19399999999999998,0.158,0.647,0.128
186,2010-03-26,0.19399999999999998,0.158,0.647,0.128
187,2010-03-27,0.19399999999999998,0.158,0.647,0.128
188,2010-03-28,0.19399999999999998,0.158,0.647,0.128
189,2010-03-29,0.19399999999999998,0.158,0.647,0.128
190,2010-03-30,0.19399999999999998,0.158,0.647,0.128
191,2010-03-31,0.272,0.0,0.728,0.6249
192,2010-04-01,0.186,0.0,0.8140000000000001,0.42255
193,2010-04-02,0.41700000000000004,0.0,0.583,0.6467
194,2010-04-03,0.41700000000000004,0.0,0.583,0.6467
195,2010-04-04,0.41700000000000004,0.0,0.583,0.6467
196,2010-04-05,0.41700000000000004,0.0,0.583,0.6467
197,2010-04-06,0.41700000000000004,0.0,0.583,0.6467
198,2010-04-07,0.41700000000000004,0.0,0.583,0.6467
199,2010-04-08,0.41700000000000004,0.0,0.583,0.6467
200,2010-04-09,0.1375,0.086,0.7765,0.07274999999999998
201,2010-04-10,0.1375,0.086,0.7765,0.07274999999999998
202,2010-04-11,0.1375,0.086,0.7765,0.07274999999999998
203,2010-04-12,0.023875,0.0,0.976125,0.047725
204,2010-04-13,0.0,0.237,0.763,-0.2732
205,2010-04-14,0.152,0.27899999999999997,0.57,-0.4601
206,2010-04-15,0.152,0.27899999999999997,0.57,-0.4601
207,2010-04-16,0.092,0.04,0.868,0.20095
208,2010-04-17,0.092,0.04,0.868,0.20095
209,2010-04-18,0.092,0.04,0.868,0.20095
210,2010-04-19,0.092,0.04,0.868,0.20095
211,2010-04-20,0.092,0.04,0.868,0.20095
212,2010-04-21,0.092,0.04,0.868,0.20095
213,2010-04-22,0.255,0.1425,0.6025,0.12204999999999999
214,2010-04-23,0.34400000000000003,0.0,0.656,0.5791333333333334
215,2010-04-24,0.042,0.0,0.958,0.0129
216,2010-04-25,0.042,0.0,0.958,0.0129
217,2010-04-26,0.042,0.0,0.958,0.0129
218,2010-04-27,0.369,0.0,0.631,0.6239
219,2010-04-28,0.369,0.0,0.631,0.6239
220,2010-04-29,0.369,0.0,0.631,0.6239
221,2010-04-30,0.0,0.0,1.0,0.0
222,2010-05-01,0.0,0.0,1.0,0.0
223,2010-05-02,0.0,0.0,1.0,0.0
224,2010-05-03,0.0,0.0,1.0,0.0
225,2010-05-04,0.18,0.0,0.82,0.2942
226,2010-05-05,0.18,0.0,0.82,0.2942
227,2010-05-06,0.0495,0.0,0.9504999999999999,0.0129
228,2010-05-07,0.14100000000000001,0.087,0.772,-0.061849999999999995
229,2010-05-08,0.14100000000000001,0.087,0.772,-0.061849999999999995
230,2010-05-09,0.14100000000000001,0.087,0.772,-0.061849999999999995
231,2010-05-10,0.14100000000000001,0.087,0.772,-0.061849999999999995
232,2010-05-11,0.25,0.0,0.75,0.6114
233,2010-05-12,0.25,0.0,0.75,0.6114
234,2010-05-13,0.0,0.0,1.0,0.0
235,2010-05-14,0.0,0.0,1.0,0.0
236,2010-05-15,0.147,0.168,0.684,-0.1007
237,2010-05-16,0.147,0.168,0.684,-0.1007
238,2010-05-17,0.147,0.168,0.684,-0.1007
239,2010-05-18,0.0,0.0,1.0,0.0
240,2010-05-19,0.0,0.0,1.0,0.0
241,2010-05-20,0.327,0.0,0.6729999999999999,0.7777
242,2010-05-21,0.457,0.0,0.5429999999999999,0.7096
243,2010-05-22,0.457,0.0,0.5429999999999999,0.7096
244,2010-05-23,0.457,0.0,0.5429999999999999,0.7096
245,2010-05-24,0.457,0.0,0.5429999999999999,0.7096
246,2010-05-25,0.457,0.0,0.5429999999999999,0.7096
247,2010-05-26,0.17800000000000002,0.0,0.8220000000000001,0.0772
248,2010-05-27,0.17800000000000002,0.0,0.8220000000000001,0.0772
249,2010-05-28,0.161,0.0,0.8390000000000001,0.3612
250,2010-05-29,0.161,0.0,0.8390000000000001,0.3612
251,2010-05-30,0.161,0.0,0.8390000000000001,0.3612
252,2010-05-31,0.161,0.0,0.8390000000000001,0.3612
253,2010-06-01,0.161,0.0,0.8390000000000001,0.3612
254,2010-06-02,0.0,0.28600000000000003,0.7140000000000001,-0.6597
255,2010-06-03,0.0,0.28600000000000003,0.7140000000000001,-0.6597
256,2010-06-04,0.3045,0.0,0.6955,0.6414500000000001
257,2010-06-05,0.3045,0.0,0.6955,0.6414500000000001
258,2010-06-06,0.3045,0.0,0.6955,0.6414500000000001
259,2010-06-07,0.0,0.0,1.0,0.0
260,2010-06-08,0.0,0.0,1.0,0.0
261,2010-06-09,0.0,0.0,1.0,0.0
262,2010-06-10,0.0,0.0,1.0,0.0
263,2010-06-11,0.0,0.0,1.0,0.0
264,2010-06-12,0.354,0.0,0.6459999999999999,0.5093
265,2010-06-13,0.354,0.0,0.6459999999999999,0.5093
266,2010-06-14,0.0,0.0,1.0,0.0
267,2010-06-15,0.214,0.1255,0.6605000000000001,-0.010199999999999987
268,2010-06-16,0.491,0.0,0.509,0.8909999999999999
269,2010-06-17,0.3,0.0,0.7,0.5093
270,2010-06-18,0.1845,0.0,0.8155,0.401
271,2010-06-19,0.1845,0.0,0.8155,0.401
272,2010-06-20,0.1845,0.0,0.8155,0.401
273,2010-06-21,0.1845,0.0,0.8155,0.401
274,2010-06-22,0.1845,0.0,0.8155,0.401
275,2010-06-23,0.0,0.0,1.0,0.0
276,2010-06-24,0.0,0.0,1.0,0.0
277,2010-06-25,0.0,0.0,1.0,0.0
278,2010-06-26,0.239,0.0,0.7609999999999999,0.6239
279,2010-06-27,0.239,0.0,0.7609999999999999,0.6239
280,2010-06-28,0.239,0.0,0.7609999999999999,0.6239
281,2010-06-29,0.239,0.0,0.7609999999999999,0.6239
282,2010-06-30,0.239,0.0,0.7609999999999999,0.6239
283,2010-07-01,0.239,0.0,0.7609999999999999,0.6239
284,2010-07-02,0.239,0.0,0.7609999999999999,0.6239
285,2010-07-03,0.239,0.0,0.7609999999999999,0.6239
286,2010-07-04,0.239,0.0,0.7609999999999999,0.6239
287,2010-07-05,0.239,0.0,0.7609999999999999,0.6239
288,2010-07-06,0.239,0.0,0.7609999999999999,0.6239
289,2010-07-07,0.298,0.0,0.7020000000000001,0.5267
290,2010-07-08,0.298,0.0,0.7020000000000001,0.5267
291,2010-07-09,0.298,0.0,0.7020000000000001,0.5267
292,2010-07-10,0.298,0.0,0.7020000000000001,0.5267
293,2010-07-11,0.298,0.0,0.7020000000000001,0.5267
294,2010-07-12,0.298,0.0,0.7020000000000001,0.5267
295,2010-07-13,0.298,0.0,0.7020000000000001,0.5267
296,2010-07-14,0.298,0.0,0.7020000000000001,0.5267
297,2010-07-15,0.298,0.0,0.7020000000000001,0.5267
298,2010-07-16,0.298,0.0,0.7020000000000001,0.5267
299,2010-07-17,0.0,0.0,1.0,0.0
300,2010-07-18,0.0,0.0,1.0,0.0
301,2010-07-19,0.0,0.0,1.0,0.0
302,2010-07-20,0.0,0.0,1.0,0.0
303,2010-07-21,0.0,0.0,1.0,0.0
304,2010-07-22,0.0,0.0,1.0,0.0
305,2010-07-23,0.0,0.0,1.0,0.0
306,2010-07-24,0.0,0.0,1.0,0.0
307,2010-07-25,0.0,0.0,1.0,0.0
308,2010-07-26,0.0,0.0,1.0,0.0
309,2010-07-27,0.0,0.0,1.0,0.0
310,2010-07-28,0.0,0.0,1.0,0.0
311,2010-07-29,0.0,0.0,1.0,0.0
312,2010-07-30,0.0,0.0,1.0,0.0
313,2010-07-31,0.0,0.0,1.0,0.0
314,2010-08-01,0.0,0.0,1.0,0.0
315,2010-08-02,0.0,0.0,1.0,0.0
316,2010-08-03,0.0,0.0,1.0,0.0
317,2010-08-04,0.0,0.0,1.0,0.0
318,2010-08-05,0.0,0.0,1.0,0.0
319,2010-08-06,0.0,0.0,1.0,0.0
320,2010-08-07,0.0,0.0,1.0,0.0
321,2010-08-08,0.0,0.0,1.0,0.0
322,2010-08-09,0.0,0.0,1.0,0.0
323,2010-08-10,0.0,0.0,1.0,0.0
324,2010-08-11,0.0,0.0,1.0,0.0
325,2010-08-12,0.556,0.0,0.444,0.875
326,2010-08-13,0.556,0.0,0.444,0.875
327,2010-08-14,0.556,0.0,0.444,0.875
328,2010-08-15,0.556,0.0,0.444,0.875
329,2010-08-16,0.556,0.0,0.444,0.875
330,2010-08-17,0.556,0.0,0.444,0.875
331,2010-08-18,0.556,0.0,0.444,0.875
332,2010-08-19,0.556,0.0,0.444,0.875
333,2010-08-20,0.556,0.0,0.444,0.875
334,2010-08-21,0.556,0.0,0.444,0.875
335,2010-08-22,0.556,0.0,0.444,0.875
336,2010-08-23,0.556,0.0,0.444,0.875
337,2010-08-24,0.556,0.0,0.444,0.875
338,2010-08-25,0.556,0.0,0.444,0.875
339,2010-08-26,0.556,0.0,0.444,0.875
340,2010-08-27,0.43,0.0,0.57,0.7777
341,2010-08-28,0.43,0.0,0.57,0.7777
342,2010-08-29,0.43,0.0,0.57,0.7777
343,2010-08-30,0.43,0.0,0.57,0.7777
344,2010-08-31,0.0,0.185,0.815,-0.3595
345,2010-09-01,0.0,0.185,0.815,-0.3595
346,2010-09-02,0.0,0.185,0.815,-0.3595
347,2010-09-03,0.0,0.185,0.815,-0.3595
348,2010-09-04,0.0,0.185,0.815,-0.3595
349,2010-09-05,0.0,0.185,0.815,-0.3595
350,2010-09-06,0.0,0.185,0.815,-0.3595
351,2010-09-07,0.075,0.245,0.68,-0.5423
352,2010-09-08,0.075,0.245,0.68,-0.5423
353,2010-09-09,0.075,0.245,0.68,-0.5423
354,2010-09-10,0.297,0.0535,0.6495000000000001,0.43055000000000004
355,2010-09-11,0.297,0.0535,0.6495000000000001,0.43055000000000004
356,2010-09-12,0.297,0.0535,0.6495000000000001,0.43055000000000004
357,2010-09-13,0.297,0.0535,0.6495000000000001,0.43055000000000004
358,2010-09-14,0.196,0.0,0.804,0.21075
359,2010-09-15,0.3165,0.0,0.6835,0.6531
360,2010-09-16,0.3165,0.0,0.6835,0.6531
361,2010-09-17,0.159,0.0,0.841,0.21075
362,2010-09-18,0.0,0.0,1.0,0.0
363,2010-09-19,0.0,0.0,1.0,0.0
364,2010-09-20,0.0,0.0,1.0,0.0
365,2010-09-21,0.0,0.0,1.0,0.0
366,2010-09-22,0.0,0.0,1.0,0.0
367,2010-09-23,0.5329999999999999,0.0,0.467,0.6908
368,2010-09-24,0.17833333333333332,0.0,0.8216666666666667,0.2597333333333333
369,2010-09-25,0.23800000000000002,0.0,0.762,0.3612
370,2010-09-26,0.23800000000000002,0.0,0.762,0.3612
371,2010-09-27,0.23800000000000002,0.0,0.762,0.3612
372,2010-09-28,0.23800000000000002,0.0,0.762,0.3612
373,2010-09-29,0.23800000000000002,0.0,0.762,0.3612
374,2010-09-30,0.23800000000000002,0.0,0.762,0.3612
375,2010-10-01,0.0,0.0,1.0,0.0
376,2010-10-02,0.0,0.0,1.0,0.0
377,2010-10-03,0.0,0.0,1.0,0.0
378,2010-10-04,0.0,0.0,1.0,0.0
