,Unnamed: 0,Date,Open,High,Low,Close,Adj Close,Volume,textblob_sentiment
0,0,2009-09-21,25.110001,25.370001,25.1,25.299999,19.717058,28878700,0.19567099567099566
1,1,2009-09-22,25.4,25.82,25.290001,25.77,20.083347,61376700,0.3094905094905095
2,2,2009-09-23,25.92,26.25,25.639999,25.709999,20.036585,60599900,-0.04241534109698171
3,3,2009-09-24,25.92,26.110001,25.66,25.940001,20.215834,56302900,0.052077414772727273
4,4,2009-09-25,25.690001,25.82,25.52,25.549999,19.911896,50158900,0.06
5,5,2009-09-26,25.690001,25.82,25.52,25.549999,19.911896,50158900,-0.4
6,6,2009-09-27,25.690001,25.82,25.52,25.549999,19.911896,50158900,-0.2962121212121212
7,7,2009-09-28,25.6,26.16,25.6,25.83,20.13011,44358000,0.004444444444444436
8,8,2009-09-29,25.91,25.959999,25.690001,25.75,20.06776,39050300,0.17234848484848486
9,9,2009-09-30,25.76,25.99,25.379999,25.719999,20.04438,63533400,0.30519480519480524
10,10,2009-10-01,25.41,25.469999,24.799999,24.879999,19.389746,75958100,0.2071428571428572
11,11,2009-10-02,24.459999,25.09,24.43,24.959999,19.452084,51219700,0.01515151515151515
12,12,2009-10-03,24.459999,25.09,24.43,24.959999,19.452084,51219700,0.25
13,13,2009-10-04,24.459999,25.09,24.43,24.959999,19.452084,51219700,-0.054545454545454536
14,14,2009-10-05,24.98,25.059999,24.52,24.639999,19.202707,60804900,0.12363636363636366
15,15,2009-10-06,24.68,25.209999,24.66,25.110001,19.568991,48795300,0.10721590909090907
16,16,2009-10-07,24.99,25.18,24.879999,25.1,19.561192,38472700,0.20998176206509536
17,17,2009-10-08,25.440001,25.9,25.219999,25.67,20.005409,60521300,0.09222027972027973
18,18,2009-10-09,25.57,25.790001,25.459999,25.549999,19.911896,39520000,0.25
19,19,2009-10-10,25.57,25.790001,25.459999,25.549999,19.911896,39520000,0.0
20,20,2009-10-11,25.57,25.790001,25.459999,25.549999,19.911896,39520000,0.1
