,Unnamed: 0,id,date,tweet,pos_vader,neg_vader,neu_vader,comp_vader
0,0,1,2020-05-28 05:00:00,"microsoft show power intellig edge apply of boston dynamic’ root-upper, spot. pick.twitter.com/ltp0eiy6yy",0.0,0.0,1.0,0.0
1,1,2,2020-05-28 04:26:12,what' top score? 😎🏄‍♀️ …,0.324,0.0,0.676,0.5859
2,2,3,2020-05-28 02:00:00,"the largest #ai model world change connect, communicate, collaborate. 🌎 learn model built:",0.0,0.0,1.0,0.0
3,3,4,2020-05-28 01:46:13,troops. 😶 …,0.0,0.0,1.0,0.0
4,4,5,2020-05-27 03:30:00,"Is organ look adopt #ai, face signify challenge develop use of responsible. learn microsoft' new response of tool #azure:",0.249,0.0,0.751,0.5106
5,5,6,2020-05-27 01:00:08,"*turn background blur* ""just make sure import dog shot."" pick.twitter.com/pgkijwwdm",0.204,0.0,0.796,0.3182
6,6,7,2020-05-26 23:45:00,"#projectbonsai first service common microsoft’ vision elbow custom build, operate, manage autonomy system #ai. learn more:",0.118,0.0,0.882,0.25
7,7,8,2020-05-23 22:51:53,"have ever play game microsoft minesweeper, lost?",0.247,0.237,0.515,0.0258
8,8,9,2020-05-23 04:44:07,"""pure last email"" pick.twitter.com/mmyqxr8i",0.0,0.0,1.0,0.0
9,9,10,2020-05-23 02:35:00,take trip beach ⬇️🏖 …,0.0,0.0,1.0,0.0
10,10,11,2020-05-23 00:30:13,♠️♥️ happy with microsoft solitary! ♣️♦️ help us clear tireless classic particle today' record-break event game complete one day: pick.twitter.com/npvyr9l8ib,0.431,0.0,0.569,0.9422
11,11,12,2020-05-22 03:30:00,do know? microsoft solitary origin invent teach people use mouse. 🖱️ help us clear 30 year tireless classic:,0.238,0.0,0.762,0.6486
12,12,13,2020-05-22 00:30:23,develop bring behind-the-seen magic help company change course quickly crisis: pick.twitter.com/nja6iooeqk,0.171,0.259,0.57,-0.34
13,13,14,2020-05-21 23:37:41,"S U P E R C O M P U T E R P R O J E C T B O N S A I I M A G I N E C U P A I A T S C A L E and wait, there’ more! thank join us year #build. catch highlight:",0.184,0.0,0.816,0.8933
14,14,15,2020-05-21 20:30:01,"Is first all-digit #build come close, think share sweet build 2018 would appropriate. oh, toi 🐴 #throwbackthursday …",0.234,0.0,0.766,0.6369
15,15,16,2020-05-21 08:01:09,🔴🟢 🔵🟡 #build continues! ⬇️ …,0.0,0.0,1.0,0.0
16,16,17,2020-05-21 04:45:00,icy: He great one power supercomput world. learn inured potent #azure-now platform develop across globe: #build,0.215,0.0,0.785,0.6249
17,17,18,2020-05-21 02:15:00,"the largest of model world change connect, communicate, collaborate. at: the future alter perspective. #msinnov #build",0.0,0.0,1.0,0.0
18,18,19,2020-05-21 01:21:35,tell us: how food year #build? 🥪🍔🥙🥐🌮🍩🍪🍫🍜,0.0,0.0,1.0,0.0
19,19,20,2020-05-21 00:25:49,hey cool cat kitten - hope enjoy day 2 #build. pick.twitter.com/jzk2yktcnx,0.512,0.0,0.488,0.8126
20,20,21,2020-05-20 22:59:01,more project bons ⬇ …,0.0,0.0,1.0,0.0
21,21,22,2020-05-20 22:36:07,"we'r also announce we’r bring together optic deepspeed, well library microsoft, popular on auntie. #build",0.274,0.0,0.726,0.5994
22,22,23,2020-05-20 22:35:31,"today, #build, we'r happy announce open-source second version deepspeed, enable train model 20 time bigger 10 time faster.",0.179,0.0,0.821,0.5719
23,23,24,2020-05-20 22:30:33,"A year ago, largest #ai model world around 1 billion parameter. our true nag (nature language generation) model, largest world, 17 billion. 🌎 the of scale. #build",0.087,0.077,0.836,0.0772
24,24,25,2020-05-20 22:23:15,"It every infect point, leap forward contribute developer. pick.twitter.com/rkvfiuo9bv",0.0,0.0,1.0,0.0
25,25,26,2020-05-20 22:17:36,"overcome constraint push past boundaries. then, forget boundary exist clear breakthrough path obliquity. #build pick.twitter.com/m5yk65odkd",0.149,0.109,0.743,0.1779
26,26,27,2020-05-20 06:20:16,catch thing #build ⬇️ …,0.0,0.0,1.0,0.0
27,27,28,2020-05-20 05:50:51,🔴🟢 attend 🔵🟡 #build yet! ⬇️ …,0.0,0.0,1.0,0.0
28,28,29,2020-05-20 05:24:07,do everyone notice key segment present scott hanselman’ special guest? 😂 check highlight day 1 #build …,0.32,0.068,0.612,0.7906
29,29,30,2020-05-20 03:58:00,"like fine wine, old friend. #build …",0.652,0.0,0.348,0.7579
30,30,31,2020-05-20 03:30:01,"explore new resource center response #ai, proved organ develop everywhere insight, guidance, tool into put response of practice. #responsible",0.113,0.0,0.887,0.3182
31,31,32,2020-05-20 01:55:00,"rgv2cw Of know, know. #build",0.0,0.0,1.0,0.0
32,32,33,2020-05-20 01:30:00,"microsoft' new supercomput enable previous unimagin #ai software platform accuser develop projects, large small. 💪 learn more: #build",0.0,0.0,1.0,0.0
33,33,34,2020-05-20 00:40:00,"take mystery machine learning. for developer, model interpret help build confide trust model predictions. learn mean hussies, wolves, scatters: #build 🐺",0.231,0.0,0.769,0.7184
34,34,35,2020-05-19 23:51:30,today ordinary tuesday. catch #build action live:,0.0,0.0,1.0,0.0
35,35,36,2020-05-19 21:14:22,watch #imaginecup world championship live now: …,0.326,0.0,0.674,0.4404
36,36,37,2020-05-19 21:13:37,"the #imaginecup world championship start now! watch six student team pitch teach solutions, find take home trophy: … 🏆#build pick.twitter.com/0pokimjibf",0.214,0.0,0.786,0.5983
37,37,38,2020-05-19 21:03:54,He infect point. #build pick.twitter.com/tplmixkncq,0.0,0.0,1.0,0.0
38,38,39,2020-05-19 20:57:47,one exit thing powerplatform also rapid applied develop tool pro des. #build pick.twitter.com/slplukfbci,0.0,0.0,1.0,0.0
39,39,40,2020-05-19 20:56:06,"He build complete toolchain developer, bring together best github, visual studio azur help go idea code code cloud. #build pick.twitter.com/r4dyblwwyw",0.277,0.0,0.723,0.7845
40,40,41,2020-05-19 20:53:43,"""the role develop import ever."" #build pick.twitter.com/jyyvsddeqz",0.0,0.0,1.0,0.0
41,41,42,2020-05-19 20:52:53,"while year feel different, come together common import ever. #build pick.twitter.com/itonap4a4c",0.0,0.0,1.0,0.0
42,42,43,2020-05-19 20:49:20,tune. in. now. #build …,0.0,0.0,1.0,0.0
43,43,44,2020-05-19 20:40:16,start 10 minutes: co satyr patella take virtual stage all-digit #build. pick.twitter.com/xddbqrvdsp,0.0,0.0,1.0,0.0
44,44,45,2020-05-19 20:30:34,today. #build pick.twitter.com/mucul8e7ir,0.0,0.0,1.0,0.0
45,45,46,2020-05-19 20:00:00,#build kick less hour. tune action here:,0.0,0.0,1.0,0.0
46,46,47,2020-05-19 05:00:36,set remind forget:,0.0,0.487,0.513,-0.2263
47,47,48,2020-05-19 05:00:00,(•_•) <) )╯hey you. / \ \(•_•) ( (> yeah you. / \ (•_•) <) )> be ready... / \ (•_•) <) )╯for #build / \ \(•_•) ( (> tomorrow? / \,0.135,0.0,0.865,0.5719
48,48,49,2020-05-18 23:50:04,let countdown begin. ⏰ one day all-digit #build kick off:,0.0,0.194,0.806,-0.34
49,49,50,2020-05-18 21:30:03,"Is uncertain time challenge company adapt change course, develop work behind-the-seen great beauty chaos. learn more:",0.352,0.226,0.421,0.5106
50,50,51,2020-05-17 22:45:01,what' first word see? #build pick.twitter.com/cyastgpd9j,0.0,0.0,1.0,0.0
51,51,52,2020-05-16 03:41:15,|￣￣￣￣￣￣ | | set | | remind | | ＿＿ ＿ ＿ _ _| (\of/) || (•ㅅ•) || / づ don't miss action #build:,0.059,0.0,0.941,0.1139
52,52,53,2020-05-16 02:20:00,the life.,0.0,0.0,1.0,0.0
53,53,54,2020-05-16 01:30:00,"with help #microsoftteams, hospital across country all limit physician' exposure #covid19. 🩺 learn more:",0.172,0.0,0.828,0.4019
54,54,55,2020-05-15 23:53:43,"what microsoft? 🐺 find #build, kick 5/19 am it. set remind catch live sessions: pick.twitter.com/dyvy4fmskm",0.0,0.0,1.0,0.0
55,55,56,2020-05-15 05:00:00,"Is world adjust remote #healthcare, learn custom already have way: ⚕️",0.0,0.0,1.0,0.0
56,56,57,2020-05-15 03:30:00,"""the divers among us unit us."" - jane hesmondhalgh, execute sponsor asia microsoft employe resource group, clear #asianpacificamericanheritagemonth read story:",0.12,0.0,0.88,0.3818
57,57,58,2020-05-15 03:28:00,which session exit for? 🔎 #build …,0.0,0.0,1.0,0.0
58,58,59,2020-05-15 02:15:00,A group microsoft worker long long turn challenge #covid19 opportune good. learn d-i-i mask team:,0.365,0.0,0.635,0.7096
59,59,60,2020-05-15 00:10:01,"30 year ago 😱 window 3.0 launch may, 1990. #throwbackthursday pick.twitter.com/noruaoxrzd",0.0,0.326,0.674,-0.7003
60,60,61,2020-05-14 04:00:00,"when irish hershberg grow up, parent think video game boys. she let stop her: 🎮",0.0,0.128,0.872,-0.296
61,61,62,2020-05-14 02:00:00,"93% senior execute ai-lead firm say active build skill worker plan to. disco #ai, skill busy value linked:",0.242,0.0,0.758,0.6249
62,62,63,2020-05-14 01:00:09,"""i'm sorry, go."" ""no, sorry...y go."" pick.twitter.com/4cse7yk2oo",0.0,0.178,0.822,-0.0772
63,63,64,2020-05-13 23:52:30,♠️♥️ microsoft solitary one play video game history. ♣️♦️ clear 30 year tireless classic: pick.twitter.com/hufhnnadpa,0.406,0.0,0.594,0.891
64,64,65,2020-05-13 05:11:47,goat ⬇ …,0.0,0.0,1.0,0.0
65,65,66,2020-05-13 02:23:56,4️⃣ pick.twitter.com/vqsuxqljqa,0.0,0.0,1.0,0.0
66,66,67,2020-05-13 02:23:56,3️⃣ pick.twitter.com/fiurpklohr,0.0,0.0,1.0,0.0
67,67,68,2020-05-13 02:23:55,2️⃣ pick.twitter.com/qkqwjfkl7b,0.0,0.0,1.0,0.0
68,68,69,2020-05-13 02:23:55,1️⃣ pick.twitter.com/r2ajjrssm,0.0,0.0,1.0,0.0
69,69,70,2020-05-13 02:23:55,"let’ say we’r host #powerpoint party, it’ decide we’r present on. vote favorite present topic like (❤️) till slide ⬇",0.291,0.0,0.709,0.802
70,70,71,2020-05-12 23:05:00,"🔴 one 🟢 week 🟡 away 🔵 join us all-digit #build, may 19-with. resist now, cost:",0.115,0.0,0.885,0.296
71,71,72,2020-05-12 04:00:00,"while year look lot different, class 2020 desert celebration. 🎓 here' we'r helping:",0.145,0.0,0.855,0.296
72,72,73,2020-05-12 02:33:09,“the meet could'v email.” pick.twitter.com/c0obiudfo,0.0,0.0,1.0,0.0
73,73,74,2020-05-12 00:34:00,the save much ⌚ …,0.444,0.0,0.556,0.4939
74,74,75,2020-05-12 00:00:00,"univers sydney student #covid19 questions, build charcot answer - one week. disco how:",0.0,0.0,1.0,0.0
75,75,76,2020-05-09 06:22:35,"click watch, regret it. 🎶 let' all have team meet 🎶 …",0.0,0.177,0.823,-0.4215
76,76,77,2020-05-09 02:30:00,"from healthcar worker use #microsoftteam connect, commerce enterprise bring job interview online, we'r inspire way custom adapt remote work. check examples:",0.156,0.0,0.844,0.5719
77,77,78,2020-05-09 01:30:01,“can everyone pleas go mute?” pick.twitter.com/lqtt6ge6ud,0.0,0.0,1.0,0.0
78,78,79,2020-05-08 22:16:13,resist now:,0.0,0.0,1.0,0.0
